"Date","Price","Open","High","Low","Vol.","Change %"
"26/08/2022","24.00","20.98","24.91","20.17","","16.73%"
"25/08/2022","20.56","21.74","22.02","20.23","","-17.26%"
"24/08/2022","24.85","27.19","27.39","24.10","","-2.17%"
"23/08/2022","25.40","25.25","25.57","24.24","","6.63%"
"22/08/2022","23.82","23.72","25.45","23.30","","35.49%"
"19/08/2022","17.58","18.32","19.04","17.39","","0.92%"
"18/08/2022","17.42","18.99","19.29","17.33","","-2.30%"
"17/08/2022","17.83","20.03","20.23","17.58","","1.71%"
"16/08/2022","17.53","18.09","18.97","16.66","","1.10%"
"15/08/2022","17.34","19.56","19.56","17.23","","12.16%"
"12/08/2022","15.46","16.93","19.27","15.29","","-11.20%"
"11/08/2022","17.41","17.85","18.44","17.31","","-9.89%"
"10/08/2022","19.32","22.62","23.38","18.85","","-20.49%"
"09/08/2022","24.30","24.83","25.44","23.70","","11.83%"
"08/08/2022","21.73","23.42","24.22","21.63","","13.24%"
"05/08/2022","19.19","21.12","21.12","18.41","","-2.39%"
"04/08/2022","19.66","21.51","21.84","19.66","","-13.01%"
"03/08/2022","22.60","24.65","24.97","21.14","","-7.45%"
"02/08/2022","24.42","26.58","27.37","22.78","","8.44%"
"01/08/2022","22.52","23.15","24.00","22.30","","26.80%"
"29/07/2022","17.76","19.92","20.08","17.76","","-14.00%"
"28/07/2022","20.65","21.26","22.53","20.32","","-24.83%"
"27/07/2022","27.47","33.17","34.20","26.85","","-9.90%"
"26/07/2022","30.49","29.70","31.42","29.50","","16.46%"
"25/07/2022","26.18","28.19","28.85","25.81","","17.82%"
"22/07/2022","22.22","23.48","24.23","22.10","","-6.05%"
"21/07/2022","23.65","25.89","26.58","23.26","","-4.56%"
"20/07/2022","24.78","28.24","28.24","23.56","","-1.39%"
"19/07/2022","25.13","25.06","26.60","24.63","","3.97%"
"18/07/2022","24.17","25.21","25.50","23.20","","17.33%"
"15/07/2022","20.60","23.43","23.95","20.44","","-16.57%"
"14/07/2022","24.69","27.39","28.13","24.49","","-10.80%"
"13/07/2022","27.68","33.67","34.28","26.54","","-11.65%"
"12/07/2022","31.33","28.52","32.01","27.91","","22.86%"
"11/07/2022","25.50","27.74","28.67","25.46","","20.34%"
"08/07/2022","21.19","24.83","24.85","21.11","","-14.07%"
"07/07/2022","24.66","25.72","25.92","24.12","","-12.37%"
"06/07/2022","28.14","32.02","32.26","28.05","","-2.66%"
"05/07/2022","28.91","33.17","33.70","28.59","","29.76%"
"01/07/2022","22.28","25.78","26.23","21.93","","-16.02%"
"30/06/2022","26.53","28.16","28.95","26.14","","-17.22%"
"29/06/2022","32.05","34.18","35.27","31.46","","4.19%"
"28/06/2022","30.76","29.94","31.62","28.48","","9.66%"
"27/06/2022","28.05","31.88","32.66","28.05","","6.65%"
"24/06/2022","26.30","28.53","28.53","25.14","","-7.46%"
"23/06/2022","28.42","29.19","29.52","28.13","","-7.37%"
"22/06/2022","30.68","35.14","35.64","30.37","","-3.37%"
"21/06/2022","31.75","36.24","36.24","30.92","","6.69%"
"17/06/2022","29.76","35.77","41.44","29.31","","-19.55%"
"16/06/2022","36.99","34.47","38.94","33.62","","-9.74%"
"15/06/2022","40.98","52.23","59.22","36.81","","-11.26%"
